formula,d,eps,Delta,speedup,incr wall time,time per portion
Psi 5,64,2,8,4.191710370860014,0.00099234,0.0001240425
Psi 5,64,2,16,2.395720749340676,0.00097024,0.00024256
Psi 5,64,2,32,1.448411485343154,0.0009679500000000001,0.00048397500000000004
Psi 5,64,4,8,4.158222368945636,0.0015570100000000002,0.00019462625000000002
Psi 5,64,4,16,2.3726493716688624,0.00152096,0.00038024
Psi 5,64,4,32,1.4379733900967653,0.0015325199999999999,0.0007662599999999999
Psi 5,64,8,16,2.228442807382162,0.0031199599999999997,0.0007799899999999999
Psi 5,64,8,32,1.3803739558973995,0.00316609,0.001583045
Psi 5,128,2,4,15.284196010539354,0.00205867,6.43334375e-05
Psi 5,128,2,8,8.004865276225036,0.0020131899999999998,0.00012582437499999999
Psi 5,128,2,16,4.277706025476946,0.00200212,0.000250265
Psi 5,128,2,32,2.398358503076665,0.00199029,0.0004975725
Psi 5,128,4,8,8.033781910737455,0.0032440000000000004,0.00020275000000000002
Psi 5,128,4,16,4.34693300177317,0.00317667,0.00039708375
Psi 5,128,4,32,2.3877060335823486,0.00322204,0.00080551
Psi 5,128,8,16,4.207600449941193,0.00691141,0.00086392625
Psi 5,128,8,32,2.3245784062731847,0.007023120000000001,0.0017557800000000002
Psi 5,256,2,4,29.756265841485998,0.00417338,6.52090625e-05
Psi 5,256,2,8,15.425129221040937,0.00405882,0.000126838125
Psi 5,256,2,16,8.15627183436868,0.00395459,0.000247161875
Psi 5,256,2,32,4.293884344256861,0.00398505,0.00049813125
Psi 5,256,4,8,15.642654771382208,0.0065416,0.000204425
Psi 5,256,4,16,8.245685783529934,0.0063766,0.0003985375
Psi 5,256,4,32,4.300736935265205,0.0065011900000000004,0.0008126487500000001
Psi 5,256,8,16,8.101228051257095,0.01427961,0.000892475625
Psi 5,256,8,32,4.23920349678203,0.014465559999999999,0.0018081949999999999
Psi 5,512,2,4,58.51691607323623,0.00848455,6.6285546875e-05
Psi 5,512,2,8,30.22920849081337,0.00824085,0.00012876328125
Psi 5,512,2,16,15.802573600394853,0.00799395,0.0002498109375
Psi 5,512,2,32,8.07751096775415,0.00806381,0.000503988125
Psi 5,512,4,8,31.118475185816177,0.01314303,0.00020535984375
Psi 5,512,4,16,16.13581417691886,0.01286497,0.0004020303125
Psi 5,512,4,32,8.282048180953257,0.01291201,0.000807000625
Psi 5,512,8,16,16.136832065198064,0.029046680000000002,0.0009077087500000001
Psi 5,512,8,32,8.091744643440531,0.02966883,0.001854301875
Psi 6,16,2,4,1.9327689184621415,0.00022841,5.71025e-05
Psi 6,16,2,8,1.2667602614282623,0.00022459,0.000112295
Psi 6,16,2,16,0.9303126973589998,0.00021690000000000001,0.00021690000000000001
Psi 6,16,4,8,1.1957412211226808,0.0003189,0.00015945
Psi 6,16,4,16,0.9449885341578859,0.00030852,0.00030852
Psi 6,16,8,16,0.953028518714337,0.00038909,0.00038909
Psi 6,32,2,4,3.8075781769615356,0.0005006499999999999,6.258124999999999e-05
Psi 6,32,2,8,2.20117899564992,0.00048855,0.0001221375
Psi 6,32,2,16,1.381591770479454,0.00047548,0.00023774
Psi 6,32,2,32,0.962069333143218,0.00047029,0.00047029
Psi 6,32,4,8,2.148673150458499,0.00074589,0.0001864725
Psi 6,32,4,16,1.3683054577337443,0.0007295600000000001,0.00036478000000000004
Psi 6,32,4,32,0.9786623512176584,0.0007164,0.0007164
Psi 6,32,8,16,1.2677398043813841,0.00131735,0.000658675
Psi 6,32,8,32,0.9815578981389733,0.00132339,0.00132339
Psi 6,64,2,4,7.493624643285123,0.00103962,6.497625e-05
Psi 6,64,2,8,4.055218962596357,0.00101643,0.00012705375
Psi 6,64,2,16,2.334799448672232,0.00098584,0.00024646
Psi 6,64,2,32,1.4261345283614772,0.00097993,0.000489965
Psi 6,64,4,8,4.1121161710849465,0.00155786,0.0001947325
Psi 6,64,4,16,2.3596307165524872,0.00152345,0.0003808625
Psi 6,64,4,32,1.430615159860694,0.0015417500000000002,0.0007708750000000001
Psi 6,64,8,16,2.2301362026230085,0.0031103199999999998,0.0007775799999999999
Psi 6,64,8,32,1.3801110703030175,0.0031609,0.00158045
